configuracion	tps_ofrecidos	tps_logrados	p95_ms	p99_ms	errores_pct	descartadas
vertical-1cpu-1g	200	199.879961	11.110065	57.653656	0	0
vertical-1cpu-1g	500	493.557432	634.838661	1571.832214	0	95
vertical-1cpu-1g	800	799.848552	29.563476	62.370524	0	0
vertical-1cpu-1g	1100	919.852051	1637.240071	1715.962163	0	1852
vertical-1cpu-1g	1400	877.546621	4187.899855	4904.779507	0	6993
vertical-2cpu-2g	200	199.985890	6.319079	14.463071	0	0
vertical-2cpu-2g	500	499.910098	6.721838	49.474686	0	0
vertical-2cpu-2g	800	799.836889	21.198121	40.706810	0	0
vertical-2cpu-2g	1100	1001.187024	1019.293452	1431.811486	0	1096
vertical-2cpu-2g	1400	965.383664	3064.697594	3236.127426	0	5675
horizontal-3x1cpu-1g	200	199.956902	9.544595	15.806624	0	0
horizontal-3x1cpu-1g	500	499.857203	8.483518	19.301057	0	0
horizontal-3x1cpu-1g	800	799.594105	9.493130	30.075381	0	0
horizontal-3x1cpu-1g	1100	1099.594168	8.253919	18.395430	0	0
horizontal-3x1cpu-1g	1400	1399.416150	9.559339	40.647862	0	0
